wittenau, 1
rathaus_reinickendorf,1
karl-bonhoeffer-nervenklinik, 1
lindauer_allee, 1
paracelsus-bad, 1
residenzstraße, 1
franz-neumann-platz, 1
osloer_straße, 1
pankstraße, 1
gesundbrunnen, 1
bernauer_straße, 1
rosenthaler_platz, 1
weinmeisterstraße, 1
alexanderplatz, 1
jannowitzbrueke, 1
heinrich-heine_straße,1
moritzplatz, 1
kottbusser_tor, 1
schoenleinstraße, 1
hermannplatz, 1
boddinstraße, 1
leinestraße, 1
jungfernheide, 1
mierendorffplatz, 1
richard-wagner_platz, 1
bismarckstraße, 1
wilmersdorfer_straße,1
charlottenburg, 1
adenauerplatz, 1
konstanzer_straße,1
fehrbelliner_platz, 1
blissestraße, 1
berliner_straße, 1
bayerischer_platz, 1
eisenacher_straße, 1
kleistpark,  1
yorckstraße, 1
moeckernbruecke,1
mehringdamm, 1
gneisenaustraße,1
suedstern, 1
